Name;Year;Category;Countries;Gender;Description;Details
James Cronin;1980;Physics;United States;Man;;
Paul Berg;1980;Chemistry;United States;Man;;
Walter Gilbert;1980;Chemistry;United States;Man;;
George Davis Snell;1980;Physiology or Medicine;United States;Man;;
Lawrence Klein;1980;Economics;United States;Man;;
Val Logsdon Fitch;1980;Physics;United States;Man;;
Baruj Benacerraf;1980;Physiology or Medicine;United States, Venezuela;Man;;
Elias Canetti;1981;Literature;Bulgaria, United Kingdom;Man;;
David H. Hubel;1981;Physiology or Medicine;Canada, United States;Man;;
Kenichi Fukui;1981;Chemistry;Japan;Man;;
Nicolaas Bloembergen;1981;Physics;Netherlands, United States;Man;;
Roald Hoffmann;1981;Chemistry;Poland, Ukraine, United States;Man;;
Kai Siegbahn;1981;Physics;Sweden;Man;;
Torsten Wiesel;1981;Physiology or Medicine;Sweden;Man;;
James Tobin;1981;Economics;United States;Man;;
Arthur Leonard Schawlow;1981;Physics;United States;Man;;
Roger Wolcott Sperry;1981;Physiology or Medicine;United States;Man;;
Gabriel García Márquez;1982;Literature;Colombia;Man;;
Aaron Klug;1982;Chemistry;Lithuania, South Africa, United Kingdom;Man;;
Alfonso García Robles;1982;Peace;Mexico;Man;;
Bengt I. Samuelsson;1982;Physiology or Medicine;Sweden;Man;;
Sune Bergström;1982;Physiology or Medicine;Sweden;Man;;
John Vane;1982;Physiology or Medicine;United Kingdom;Man;;
Kenneth G. Wilson;1982;Physics;United States;Man;;
George Stigler;1982;Economics;United States;Man;;
Henry Taube;1983;Chemistry;Canada, United States;Man;;
Gérard Debreu;1983;Economics;France, United States;Man;;
Subrahmanyan Chandrasekhar;1983;Physics;India, United States;Man;;
Lech Wałęsa;1983;Peace;Poland;Man;;
William Golding;1983;Literature;United Kingdom;Man;;
William Alfred Fowler;1983;Physics;United States;Man;;
Robert Bruce Merrifield;1984;Chemistry;United States;Man;;
César Milstein;1984;Physiology or Medicine;Argentina, United Kingdom;Man;;
Jaroslav Seifert;1984;Literature;Czech Republic;Man;;
Niels Kaj Jerne;1984;Physiology or Medicine;Denmark, United Kingdom;Man;;
Carlo Rubbia;1984;Physics;Italy;Man;;
Simon van der Meer;1984;Physics;Netherlands;Man;;
Desmond Tutu;1984;Peace;South Africa;Man;;
Georges J. F. Köhler;1984;Physiology or Medicine;Switzerland, Germany;Man;;
Richard Stone;1984;Economics;United Kingdom;Man;;
Claude Simon;1985;Literature;France;Man;;
Klaus von Klitzing;1985;Physics;Germany;Man;;
Franco Modigliani;1985;Economics;Italy, United States;Man;;
Herbert A. Hauptman;1985;Chemistry;United States;Man;;
Jerome Karle;1985;Chemistry;United States;Man;;
Joseph L. Goldstein;1985;Physiology or Medicine;United States;Man;;
Michael Stuart Brown;1985;Physiology or Medicine;United States;Man;;
John Polanyi;1986;Chemistry;Canada, Germany, Hungary;Man;;
Ernst Ruska;1986;Physics;Germany;Man;;
Gerd Binnig;1986;Physics;Germany;Man;;
Wole Soyinka;1986;Literature;Nigeria;Man;;
Elie Wiesel;1986;Peace;Romania, United States;Man;;
Heinrich Rohrer;1986;Physics;Switzerland;Man;;
Yuan T. Lee;1986;Chemistry;Taiwan (China, Republic of), United States;Man;;
Dudley R. Herschbach;1986;Chemistry;United States;Man;;
James M. Buchanan;1986;Economics;United States;Man;;
Stanley Cohen;1986;Physiology or Medicine;United States;Man;;
Johannes Georg Bednorz;1987;Physics;Germany;Man;;
Óscar Arias;1987;Peace;Costa Rica;Man;;
Jean-Marie Lehn;1987;Chemistry;France;Man;;
Susumu Tonegawa;1987;Physiology or Medicine;Japan;Man;;
Joseph Brodsky;1987;Literature;Russia and Soviet Union, United States;Man;;
Karl Alexander Müller;1987;Physics;Switzerland;Man;;
Charles J. Pedersen;1987;Chemistry;United States;Man;;
Donald J. Cram;1987;Chemistry;United States;Man;;
Robert Solow;1987;Economics;United States;Man;;
Naguib Mahfouz;1988;Literature;Egypt;Man;;
Maurice Allais;1988;Economics;France;Man;;
Hartmut Michel;1988;Chemistry;Germany;Man;;
Johann Deisenhofer;1988;Chemistry;Germany;Man;;
Robert Huber;1988;Chemistry;Germany;Man;;
Jack Steinberger;1988;Physics;Germany, United States;Man;;
James W. Black;1988;Physiology or Medicine;United Kingdom;Man;;
George H. Hitchings;1988;Physiology or Medicine;United States;Man;;
Leon M. Lederman;1988;Physics;United States;Man;;
Melvin Schwartz;1988;Physics;United States;Man;;
Tenzin Gyatso (The 14th Dalai Lama);1989;Peace;Tibet;Man;;
Sidney Altman;1989;Chemistry;Canada, United States;Man;;
Wolfgang Paul;1989;Physics;Germany;Man;;
Hans Georg Dehmelt;1989;Physics;Germany, United States;Man;;
Trygve Haavelmo;1989;Economics;Norway;Man;;
Camilo José Cela;1989;Literature;Spain;Man;;
Harold E. Varmus;1989;Physiology or Medicine;United States;Man;;
J. Michael Bishop;1989;Physiology or Medicine;United States;Man;;
Norman Foster Ramsey, Jr;1989;Physics;United States;Man;;
Thomas Cech;1989;Chemistry;United States;Man;;
Richard E. Taylor;1990;Physics;Canada;Man;;
Octavio Paz;1990;Literature;Mexico;Man;;
Mikhail Gorbachev;1990;Peace;Russia and Soviet Union;Man;;
E. Donnall Thomas;1990;Physiology or Medicine;United States;Man;;
Elias James Corey;1990;Chemistry;United States;Man;;
William F. Sharpe;1990;Economics;United States;Man;;
Harry Markowitz;1990;Economics;United States;Man;;
Henry Way Kendall;1990;Physics;United States;Man;;
Jerome Isaac Friedman;1990;Physics;United States;Man;;
Joseph Murray;1990;Physiology or Medicine;United States;Man;;
Merton Miller;1990;Economics;United States;Man;;
Pierre-Gilles de Gennes;1991;Physics;France;Man;;
Bert Sakmann;1991;Physiology or Medicine;Germany;Man;;
Erwin Neher;1991;Physiology or Medicine;Germany;Man;;
Richard R. Ernst;1991;Chemistry;Switzerland;Man;;
Ronald Coase;1991;Economics;United Kingdom, United States;Man;;
Rudolph A. Marcus;1992;Chemistry;Canada, United States;Man;;
Georges Charpak;1992;Physics;France, Poland, Ukraine;Man;;
Derek Walcott;1992;Literature;Saint Lucia;Man;;
Edwin G. Krebs;1992;Physiology or Medicine;United States;Man;;
Gary Becker;1992;Economics;United States;Man;;
Edmond H. Fischer;1992;Physiology or Medicine;United States, Switzerland;Man;;
Michael Smith;1993;Chemistry;Canada, United Kingdom;Man;;
F. W. de Klerk;1993;Peace;South Africa;Man;;
Nelson Mandela;1993;Peace;South Africa;Man;;
Richard J. Roberts;1993;Physiology or Medicine;United Kingdom;Man;;
Douglass North;1993;Economics;United States;Man;;
Joseph Hooton Taylor, Jr.;1993;Physics;United States;Man;;
Kary Mullis;1993;Chemistry;United States;Man;;
Phillip Allen Sharp;1993;Physiology or Medicine;United States;Man;;
Robert Fogel;1993;Economics;United States;Man;;
Russell Alan Hulse;1993;Physics;United States;Man;;
Bertram Brockhouse;1994;Physics;Canada;Man;;
Reinhard Selten;1994;Economics;Germany;Man;;
George Andrew Olah;1994;Chemistry;Hungary, United States;Man;;
John Harsanyi;1994;Economics;Hungary, United States;Man;;
John Forbes Nash, Jr;1994;Economics;Hungary, United States;Man;;
Yitzhak Rabin;1994;Peace;Israel;Man;;
Shimon Peres;1994;Peace;Israel, Poland;Man;;
Kenzaburō Ōe;1994;Literature;Japan;Man;;
Yasser Arafat;1994;Peace;Palestine;Man;;
Alfred G. Gilman;1994;Physiology or Medicine;United States;Man;;
Martin Rodbell;1994;Physiology or Medicine;United States;Man;;
Clifford Shull;1994;Physics;United States;Man;;
Frank Sherwood Rowland;1995;Chemistry;United States;Man;;
Seamus Heaney;1995;Literature;Ireland;Man;;
Paul J. Crutzen;1995;Chemistry;Germany, Netherlands;Man;;
Joseph Rotblat;1995;Peace;Poland, United Kingdom;Man;;
Edward B. Lewis;1995;Physiology or Medicine;United States;Man;;
Eric F. Wieschaus;1995;Physiology or Medicine;United States;Man;;
Frederick Reines;1995;Physics;United States;Man;;
Martin Lewis Perl;1995;Physics;United States;Man;;
Robert Lucas, Jr.;1995;Economics;United States;Man;;
Mario J. Molina;1995;Chemistry;United States, Mexico;Man;;
Harry Kroto;1996;Chemistry;United Kingdom;Man;;
Peter C. Doherty;1996;Physiology or Medicine;Australia;Man;;
William Vickrey;1996;Economics;Canada, United States;Man;;
Carlos Filipe Ximenes Belo;1996;Peace;East Timor, Portugal;Man;;
José Ramos-Horta;1996;Peace;East Timor, Portugal;Man;;
Rolf M. Zinkernagel;1996;Physiology or Medicine;Switzerland;Man;;
James Mirrlees;1996;Economics;United Kingdom;Man;;
Robert F. Curl Jr.;1996;Chemistry;United States;Man;;
David Lee;1996;Physics;United States;Man;;
Douglas Osheroff;1996;Physics;United States;Man;;
Richard Smalley;1996;Chemistry;United States;Man;;
Robert Coleman Richardson;1996;Physics;United States;Man;;
Myron Scholes;1997;Economics;Canada, United States;Man;;
Jens Christian Skou;1997;Chemistry;Denmark;Man;;
Claude Cohen-Tannoudji;1997;Physics;France;Man;;
Dario Fo;1997;Literature;Italy;Man;;
John E. Walker;1997;Chemistry;United Kingdom;Man;;
Paul D. Boyer;1997;Chemistry;United States;Man;;
Robert C. Merton;1997;Economics;United States;Man;;
Stanley B. Prusiner;1997;Physiology or Medicine;United States;Man;;
Steven Chu;1997;Physics;United States;Man;;
William Daniel Phillips;1997;Physics;United States;Man;;
Walter Kohn;1998;Chemistry;Austria, United States;Man;;
Daniel C. Tsui;1998;Physics;China, People's Republic of, United States;Man;;
Amartya Sen;1998;Economics;India;Man;;
John Hume;1998;Peace;Ireland;Man;;
David Trimble;1998;Peace;Ireland, United Kingdom;Man;;
José Saramago;1998;Literature;Portugal;Man;;
John Pople;1998;Chemistry;United Kingdom;Man;;
Ferid Murad;1998;Physiology or Medicine;United States;Man;;
Horst Ludwig Störmer;1998;Physics;United States;Man;;
Robert B. Laughlin;1998;Physics;United States;Man;;
Robert F. Furchgott;1998;Physiology or Medicine;United States;Man;;
Louis Ignarro;1998;Physiology or Medicine;United States;Man;;
Robert Mundell;1999;Economics;Canada;Man;;
Ahmed Zewail;1999;Chemistry;Egypt;Man;;
Günter Grass;1999;Literature;Germany;Man;;
Günter Blobel;1999;Physiology or Medicine;Germany, United States;Man;;
Gerard 't Hooft;1999;Physics;Netherlands;Man;;
Martinus J. G. Veltman;1999;Physics;Netherlands;Man;;
Eric Kandel;2000;Physiology or Medicine;Austria, United States;Man;;
Zhores Alferov;2000;Physics;Belarus, Russia and Soviet Union;Man;;
Gao Xingjian;2000;Literature;China, People's Republic of, France;Man;;
Herbert Kroemer;2000;Physics;Germany;Man;;
Hideki Shirakawa;2000;Chemistry;Japan;Man;;
Alan MacDiarmid;2000;Chemistry;New Zealand, United States;Man;;
Alan J. Heeger;2000;Chemistry;New Zealand, United States;Man;;
Kim Dae-jung;2000;Peace;South Korea;Man;;
Arvid Carlsson;2000;Physiology or Medicine;Sweden;Man;;
Jack Kilby;2000;Physics;United States;Man;;
Paul Greengard;2000;Physiology or Medicine;United States;Man;;
Daniel McFadden;2000;Economics;United States;Man;;
James Heckman;2000;Economics;United States;Man;;
Karl Barry Sharpless;2001;Chemistry;United States;Man;;
Michael Spence;2001;Economics;United States;Man;;
Wolfgang Ketterle;2001;Physics;Germany;Man;;
Kofi Annan;2001;Peace;Ghana;Man;;
Ryōji Noyori;2001;Chemistry;Japan;Man;;
V. S. Naipaul;2001;Literature;Trinidad and Tobago, United Kingdom;Man;;
Paul Nurse;2001;Physiology or Medicine;United Kingdom;Man;;
Tim Hunt;2001;Physiology or Medicine;United Kingdom;Man;;
Leland H. Hartwell;2001;Physiology or Medicine;United States;Man;;
Carl Wieman;2001;Physics;United States;Man;;
Eric Allin Cornell;2001;Physics;United States;Man;;
George Akerlof;2001;Economics;United States;Man;;
Joseph Stiglitz;2001;Economics;United States;Man;;
William Standish Knowles;2001;Chemistry;United States;Man;;
Imre Kertész;2002;Literature;Hungary;Man;;
Daniel Kahneman;2002;Economics;Israel, United States;Man;;
Riccardo Giacconi;2002;Physics;Italy, United States;Man;;
Koichi Tanaka;2002;Chemistry;Japan;Man;;
Masatoshi Koshiba;2002;Physics;Japan;Man;;
Sydney Brenner;2002;Physiology or Medicine;South Africa, United Kingdom, United States;Man;;
Kurt Wüthrich;2002;Chemistry;Switzerland;Man;;
John Sulston;2002;Physiology or Medicine;United Kingdom;Man;;
H. Robert Horvitz;2002;Physiology or Medicine;United States;Man;;
Jimmy Carter;2002;Peace;United States;Man;;
Vernon L. Smith;2002;Economics;United States;Man;;
John Fenn;2002;Chemistry;United States;Man;;
Raymond Davis, Jr.;2002;Physics;United States;Man;;
Vitaly Ginzburg;2003;Physics;Russia and Soviet Union;Man;;
Alexei Alexeyevich Abrikosov;2003;Physics;Russia and Soviet Union, United States;Man;;
J. M. Coetzee;2003;Literature;South Africa;Man;;
Peter Mansfield;2003;Physiology or Medicine;United Kingdom;Man;;
Clive Granger;2003;Economics;United Kingdom;Man;;
Anthony James Leggett;2003;Physics;United Kingdom, United States;Man;;
Peter Agre;2003;Chemistry;United States;Man;;
Robert F. Engle;2003;Economics;United States;Man;;
Roderick MacKinnon;2003;Chemistry;United States;Man;;
Paul Lauterbur;2003;Physiology or Medicine;United States;Man;;
Hugh David Politzer;2004;Physics;United States;Man;;
Avram Hershko;2004;Chemistry;Hungary, Israel;Man;;
Aaron Ciechanover;2004;Chemistry;Israel;Man;;
Finn E. Kydland;2004;Economics;Norway;Man;;
Edward C. Prescott;2004;Economics;United States;Man;;
Frank Wilczek;2004;Physics;United States;Man;;
Irwin Rose;2004;Chemistry;United States;Man;;
Richard Axel;2004;Physiology or Medicine;United States;Man;;
David Gross;2004;Physics;United States;Man;;
Robin Warren;2005;Physiology or Medicine;Australia;Man;;
Barry Marshall;2005;Physiology or Medicine;Australia;Man;;
Mohamed ElBaradei;2005;Peace;Egypt;Man;;
Yves Chauvin;2005;Chemistry;France;Man;;
Theodor W. Hänsch;2005;Physics;Germany;Man;;
Robert Aumann;2005;Economics;Israel, United States;Man;;
Harold Pinter;2005;Literature;United Kingdom;Man;;
John L. Hall;2005;Physics;United States;Man;;
Richard R. Schrock;2005;Chemistry;United States;Man;;
Robert H. Grubbs;2005;Chemistry;United States;Man;;
Roy J. Glauber;2005;Physics;United States;Man;;
Thomas Schelling;2005;Economics;United States;Man;;
Muhammad Yunus;2006;Peace;Bangladesh;Man;;
Orhan Pamuk;2006;Literature;Turkey;Man;;
John C. Mather;2006;Physics;United States;Man;;
Roger D. Kornberg;2006;Chemistry;United States;Man;;
Andrew Fire;2006;Physiology or Medicine;United States;Man;;
Craig Mello;2006;Physiology or Medicine;United States;Man;;
Edmund Phelps;2006;Economics;United States;Man;;
George Smoot;2006;Physics;United States;Man;;
Martin Evans;2007;Physiology or Medicine;United Kingdom;Man;;
Peter Grünberg;2007;Physics;Czech Republic, Germany;Man;;
Albert Fert;2007;Physics;France;Man;;
Gerhard Ertl;2007;Chemistry;Germany;Man;;
Mario Capecchi;2007;Physiology or Medicine;Italy, United States;Man;;
Leonid Hurwicz;2007;Economics;Poland, Russia and Soviet Union, United States;Man;;
Oliver Smithies;2007;Physiology or Medicine;United Kingdom, United States;Man;;
Al Gore;2007;Peace;United States;Man;;
Eric Maskin;2007;Economics;United States;Man;;
Roger Myerson;2007;Economics;United States;Man;;
Martti Ahtisaari;2008;Peace;Finland;Man;;
J. M. G. Le Clézio;2008;Literature;France;Man;;
Luc Montagnier;2008;Physiology or Medicine;France;Man;;
Harald zur Hausen;2008;Physiology or Medicine;Germany;Man;;
Makoto Kobayashi;2008;Physics;Japan;Man;;
Toshihide Maskawa;2008;Physics;Japan;Man;;
Osamu Shimomura;2008;Chemistry;Japan, United States;Man;;
Yoichiro Nambu;2008;Physics;Japan, United States;Man;;
Martin Chalfie;2008;Chemistry;United States;Man;;
Paul Krugman;2008;Economics;United States;Man;;
Roger Y. Tsien;2008;Chemistry;United States;Man;;
Jack W. Szostak;2009;Physiology or Medicine;Canada, United States;Man;;
Willard S. Boyle;2009;Physics;Canada, United States;Man;;
Charles K. Kao;2009;Physics;China, Republic of, Hong Kong, United Kingdom, United States;Man;;
Venkatraman Ramakrishnan;2009;Chemistry;India, United States;Man;;
George E. Smith;2009;Physics;United States;Man;;
Thomas A. Steitz;2009;Chemistry;United States;Man;;
Barack Obama;2009;Peace;United States;Man;;
Liu Xiaobo;2010;Peace;China, People's Republic of;Man;;
Christopher A. Pissarides;2010;Economics;Cyprus, United Kingdom;Man;;
Akira Suzuki;2010;Chemistry;Japan;Man;;
Ei-ichi Negishi;2010;Chemistry;Japan, United States;Man;;
Andre Geim;2010;Physics;Netherlands, Russia and Soviet Union;Man;;
Mario Vargas Llosa;2010;Literature;Peru, Spain;Man;;
Konstantin Novoselov;2010;Physics;Russia and Soviet Union, United Kingdom;Man;;
Robert G. Edwards;2010;Physiology or Medicine;United Kingdom;Man;;
Dale T. Mortensen;2010;Economics;United States;Man;;
Peter A. Diamond;2010;Economics;United States;Man;;
Richard F. Heck;2010;Chemistry;United States;Man;;
Brian Schmidt;2011;Physics;Australia;Man;;
Ralph M. Steinman;2011;Physiology or Medicine;Canada, United States;Man;;
Jules A. Hoffmann;2011;Physiology or Medicine;France, Luxembourg;Man;;
Dan Shechtman;2011;Chemistry;Israel;Man;;
Tomas Tranströmer;2011;Literature;Sweden;Man;;
Adam G. Riess;2011;Physics;United States;Man;;
Bruce Beutler;2011;Physiology or Medicine;United States;Man;;
Christopher A. Sims;2011;Economics;United States;Man;;
Saul Perlmutter;2011;Physics;United States;Man;;
Thomas J. Sargent;2011;Economics;United States;Man;;
Mo Yan;2012;Literature;China, People's Republic of;Man;;
Serge Haroche;2012;Physics;France;Man;;
Shinya Yamanaka;2012;Physiology or Medicine;Japan;Man;;
John B. Gurdon;2012;Physiology or Medicine;United Kingdom;Man;;
Alvin E. Roth;2012;Economics;United States;Man;;
Brian K. Kobilka;2012;Chemistry;United States;Man;;
David J. Wineland;2012;Physics;United States;Man;;
Lloyd S. Shapley;2012;Economics;United States;Man;;
Robert J. Lefkowitz;2012;Chemistry;United States;Man;;
Martin Karplus;2013;Chemistry;Austria, United States;Man;;
François Englert;2013;Physics;Belgium;Man;;
Thomas C. Südhof;2013;Physiology or Medicine;Germany, United States;Man;;
Michael Levitt;2013;Chemistry;Israel, South Africa, United Kingdom, United States;Man;;
Arieh Warshel;2013;Chemistry;Israel, United States;Man;;
Peter W. Higgs;2013;Physics;United Kingdom;Man;;
Eugene F. Fama;2013;Economics;United States;Man;;
Lars Peter Hansen;2013;Economics;United States;Man;;
Robert J. Shiller;2013;Economics;United States;Man;;
James E. Rothman;2013;Physiology or Medicine;United States;Man;;
Randy W. Schekman;2013;Physiology or Medicine;United States;Man;;
Jean Tirole;2014;Economics;France;Man;;
Patrick Modiano;2014;Literature;France;Man;;
Stefan Hell;2014;Chemistry;Germany, Romania;Man;;
Kailash Satyarthi;2014;Peace;India;Man;;
Hiroshi Amano;2014;Physics;Japan;Man;;
Isamu Akasaki;2014;Physics;Japan;Man;;
Shuji Nakamura;2014;Physics;Japan, United States;Man;;
Edvard Moser;2014;Physiology or Medicine;Norway;Man;;
John O'Keefe;2014;Physiology or Medicine;United Kingdom, United States;Man;;
Eric Betzig;2014;Chemistry;United States;Man;;
William Moerner;2014;Chemistry;United States;Man;;
Arthur B. McDonald;2015;Physics;Canada;Man;;
William C. Campbell;2015;Physiology or Medicine;Ireland, United States;Man;;
Satoshi Ōmura;2015;Physiology or Medicine;Japan;Man;;
Takaaki Kajita;2015;Physics;Japan;Man;;
Tomas Lindahl;2015;Chemistry;Sweden, United Kingdom;Man;;
Aziz Sancar;2015;Chemistry;Turkey, United States;Man;;
Angus Deaton;2015;Economics;United Kingdom, United States;Man;;
Paul L. Modrich;2015;Chemistry;United States;Man;;
Duncan Haldane;2016;Physics;United Kingdom, United States;Man;;
Juan Manuel Santos;2016;Peace;Colombia;Man;;
Bengt R. Holmström;2016;Economics;Finland;Man;;
Jean-Pierre Sauvage;2016;Chemistry;France;Man;;
Yoshinori Ohsumi;2016;Physiology or Medicine;Japan;Man;;
Ben Feringa;2016;Chemistry;Netherlands;Man;;
David J. Thouless;2016;Physics;United Kingdom;Man;;
Fraser Stoddart;2016;Chemistry;United Kingdom, United States;Man;;
John M. Kosterlitz;2016;Physics;United Kingdom, United States;Man;;
Oliver Hart;2016;Economics;United Kingdom, United States;Man;;
Bob Dylan;2016;Literature;United States;Man;;
Joachim Frank;2017;Chemistry;Germany, United States;Man;;
Rainer Weiss;2017;Physics;Germany, United States;Man;;
Kazuo Ishiguro;2017;Literature;Japan, United Kingdom;Man;;
Jacques Dubochet;2017;Chemistry;Switzerland;Man;;
Richard Henderson;2017;Chemistry;United Kingdom;Man;;
Barry Barish;2017;Physics;United States;Man;;
Jeffrey C. Hall;2017;Physiology or Medicine;United States;Man;;
Kip Thorne;2017;Physics;United States;Man;;
Michael Rosbash;2017;Physiology or Medicine;United States;Man;;
Michael W. Young;2017;Physiology or Medicine;United States;Man;;
Richard Thaler;2017;Economics;United States;Man;;
Denis Mukwege;2018;Peace;Congo, Democratic Republic;Man;;
Gérard Mourou;2018;Physics;France;Man;;
Tasuku Honjo;2018;Physiology or Medicine;Japan;Man;;
Greg Winter;2018;Chemistry;United Kingdom;Man;;
Arthur Ashkin;2018;Physics;United States;Man;;
George P. Smith;2018;Chemistry;United States;Man;;
James P. Allison;2018;Physiology or Medicine;United States;Man;;
James Peebles;2019;Physics;Canada, United States;Man;;
Peter Handke;2019;Literature;Austria;Man;;
Abiy Ahmed;2019;Peace;Ethiopia;Man;;
Abhijit Banerjee;2019;Economics;India, United States;Man;;
Akira Yoshino;2019;Chemistry;Japan;Man;;
Didier Queloz;2019;Physics;Switzerland;Man;;
Michel Mayor;2019;Physics;Switzerland;Man;;
Peter J. Ratcliffe;2019;Physiology or Medicine;United Kingdom;Man;;
M. Stanley Whittingham;2019;Chemistry;United Kingdom, United States;Man;;
Gregg L. Semenza;2019;Physiology or Medicine;United States;Man;;
John B. Goodenough;2019;Chemistry;United States;Man;;
Michael Kremer;2019;Economics;United States;Man;;
William Kaelin Jr.;2019;Physiology or Medicine;United States;Man;;
Institut de Droit International;1904;Peace;Belgium;Organization;;
International Peace Bureau;1910;Peace;-;Organization;;
International Committee of the Red Cross;1917;Peace;-;Organization;;
The Viscount Cecil of Chelwood;1937;Peace;United Kingdom;Organization;;
Nansen International Office For Refugees;1938;Peace;-;Organization;;
International Committee of the Red Cross;1944;Peace;-;Organization;;
Friends Service Council;1947;Peace;United Kingdom;Organization;;
American Friends Service Committee;1947;Peace;United States;Organization;;
United Nations High Commissioner for Refugees;1954;Peace;-;Organization;;
International Committee of the Red Cross;1963;Peace;-;Organization;;
League of Red Cross societies;1963;Peace;-;Organization;;
United Nations International Children's Emergency Fund;1965;Peace;-;Organization;;
International Labour Organization;1969;Peace;-;Organization;;
Amnesty International;1977;Peace;United Kingdom;Organization;;
United Nations High Commissioner for Refugees;1981;Peace;-;Organization;;
International Physicians for the Prevention of Nuclear War;1985;Peace;-;Organization;;
United Nations Peace-Keeping Forces;1988;Peace;-;Organization;;
Pugwash Conferences on Science and World Affairs;1995;Peace;Canada;Organization;;
International Campaign to Ban Landmines;1997;Peace;-;Organization;;
Médecins Sans Frontières;1999;Peace;France;Organization;;
United Nations;2001;Peace;-;Organization;;
International Atomic Energy Agency;2005;Peace;Austria;Organization;;
Grameen Bank;2006;Peace;Bangladesh;Organization;;
Intergovernmental Panel on Climate Change;2007;Peace;-;Organization;;
European Union;2012;Peace;-;Organization;;
Organisation for the Prohibition of Chemical Weapons;2013;Peace;Netherlands;Organization;;
Tunisian National Dialogue Quartet;2015;Peace;Tunisia;Organization;;
International Campaign to Abolish Nuclear Weapons;2017;Peace;-;Organization;;
Ada Yonath;2009;Chemistry;Israel;Woman;"""For studies of the structure and function of the ribosome""";
Alice Munro;2013;Literature;Canada;Woman;"""Master of the contemporary short story""";
Alva Myrdal;1982;Peace;Sweden;Woman;"""Former Cabinet Minister";
Aung San Suu Kyi;1991;Peace;Burma;Woman;"""For her non-violent struggle for democracy and human rights""";
Barbara McClintock;1983;Physiology or Medicine;United States;Woman;"""For her discovery of mobile genetic elements""";
Bertha von Suttner;1905;Peace;Czech Republic;Woman;"""Honorary President of Permanent International Peace Bureau, Bern, Switzerland";
Betty Williams;1976;Peace;Ireland, United Kingdom;Woman;"""Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People)""";Born in North Ireland, part of the UK
Carol W. Greider;2009;Physiology or Medicine;United States;Woman;"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""";
Christiane Nüsslein-Volhard;1995;Physiology or Medicine;Germany;Woman;"""For their discoveries concerning the genetic control of early embryonic development""";
Donna Strickland;2018;Physics;Canada;Woman;"""For their method of generating high-intensity, ultra-short optical pulses""";
Doris Lessing;2007;Literature;Iran, United Kingdom;Woman;"""That epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""";Born in Iran, worked in the UK
Dorothy Hodgkin;1964;Chemistry;United Kingdom;Woman;"""For her determinations by X-ray techniques of the structures of important biochemical substances""";
Elfriede Jelinek;2004;Literature;Austria;Woman;"""For her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""";
Elinor Ostrom;2009;Economics;United States;Woman;"""For her analysis of economic governance, especially the commons""";
Elizabeth Blackburn;2009;Physiology or Medicine;Australia, United States;Woman;"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""";Born in Australia, worked in the US
Ellen Johnson Sirleaf;2011;Peace;Liberia;Woman;"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""";
Emily Greene Balch;1946;Peace;United States;Woman;"""Formerly Professor of History and Sociology";
Esther Duflo;2019;Economics;France, United States;Woman;"""For their experimental approach to alleviating global poverty""";Born in France, worked in the US
Frances H. Arnold;2018;Chemistry;United States;Woman;"""For the directed evolution of enzymes""";
Françoise Barré-Sinoussi;2008;Physiology or Medicine;France;Woman;"""For their discovery of HIV, human immunodeficiency virus""";
Gabriela Mistral;1945;Literature;Chile;Woman;"""For her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""";
Gertrude B. Elion;1988;Physiology or Medicine;United States;Woman;"""For their discoveries of important principles for drug treatment""";
Gerty Cori;1947;Physiology or Medicine;Czech Republic, United States;Woman;"""For their discovery of the course of the catalytic conversion of glycogen""";Born in the Austrian Empire (now Czech Republic), worked in the US
Grazia Deledda;1926;Literature;Italy;Woman;"""For her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""";
Herta Müller;2009;Literature;Germany, Romania;Woman;"""Who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""";Born in Romania, worked in Germany
Irène Joliot-Curie;1935;Chemistry;France;Woman;"""For their synthesis of new radioactive elements""";
Jane Addams;1931;Peace;United States;Woman;"""Sociologist";
Jody Williams;1997;Peace;United States;Woman;"""For their work for the banning and clearing of anti-personnel mines""";
Leymah Gbowee;2011;Peace;Liberia;Woman;"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""";
Linda B. Buck;2004;Physiology or Medicine;United States;Woman;"""For their discoveries of odorant receptors and the organization of the olfactory system""";
Mairead Maguire;1976;Peace;Ireland, United Kingdom;Woman;"""Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People)""";Born in North Ireland, part of the UK
Malala Yousafzai;2014;Peace;Pakistan;Woman;"""For their struggle against the suppression of children and young people and for the right of all children to education"".";
Maria Goeppert-Mayer;1963;Physics;Germany, United States;Woman;"""For their discoveries concerning nuclear shell structure""";Born in then Germany,  worked in the US
